# From RFC 1345

include 646-inv.txt

0x23	0x0023	# NUMBER SIGN
0x24	0x00A4	# CURRENCY SIGN
0x40	0x0040	# COMMERCIAL AT
0x5B	0x00c4	# LATIN CAPITAL LETTER A WITH DIAERESIS
0x5C	0x00d6	# LATIN CAPITAL LETTER O WITH DIAERESIS
0x5D	0x005e	# CIRCUMFLEX ACCENT
0x5E	0x00c5	# LATIN CAPITAL LETTER A WITH RING ABOVE
0x60	0x0060	# GRAVE ACCENT
0x7B	0x00e4	# LATIN SMALL LETTER A WITH DIAERESIS
0x7C	0x00f6	# LATIN SMALL LETTER O WITH DIAERESIS
0x7D	0x00e5	# LATIN SMALL LETTER A WITH RING ABOVE
0x7E	0x203e	# OVERLINE
